M,N,K,MAGMA_Tflops/s,ms1,cuBLAS_Tflops/s,ms2,magma_L1_hit_rate,magma_L2_hit_rate,cublas_L1_hit_rate,cublas_L2_hit_rate,magma_flo,cu_flo,magma_flo_mkn2,cu_flo_mkn2,mat
1024,16,1024,0.039909999999999994,0.84,0.54976,0.06,1.15,21.29,0,53.92,33524399.999999993,32985600.000000004,33554432,33554432,tallskinny_dgemm_1024_16
1024,32,1024,0.08044,0.83,0.27841000000000005,0.24,1.88,34.7,1.51,48.45,66765200.0,66818400.00000001,67108864,67108864,tallskinny_dgemm_1024_32
1024,64,1024,0.16041999999999998,0.84,0.55996,0.24,2.68,49.52,1.5,72.78,134752799.99999997,134390400.0,134217728,134217728,tallskinny_dgemm_1024_64
1024,128,1024,0.32059,0.84,0.5696,0.47,2.6,70.91,1.94,79.9,269295599.99999994,267712000.00000003,268435456,268435456,tallskinny_dgemm_1024_128
1024,256,1024,0.64038,0.84,1.13498,0.47,2.61,82.39,22.61,88.81,537919200.0,533440600.00000006,536870912,536870912,tallskinny_dgemm_1024_256
1024,512,1024,1.26922,0.85,1.148,0.94,2.68,88.45,13.83,93.37,1078837000.0,1079119999.9999998,1073741824,1073741824,tallskinny_dgemm_1024_512
1024,1024,1024,1.30281,1.65,1.15497,1.86,2.99,91.2,2.56,94.13,2149636499.9999995,2148244200.0,2147483648,2147483648,tallskinny_dgemm_1024_1024
1024,2048,1024,1.3094400000000002,3.28,1.1553900000000001,3.72,2.62,92.81,3.79,95.28,4294963200.0000005,4298050800.000001,4294967296,4294967296,tallskinny_dgemm_1024_2048
1024,4096,1024,1.31318,6.54,1.15704,7.42,2.5,93.45,3.69,95.68,8588197200.0,8585236800.0,8589934592,8589934592,tallskinny_dgemm_1024_4096
1024,8192,1024,1.31428,13.07,1.15541,14.87,2.47,93.86,2.92,91.98,17177639600.0,17180946700.0,17179869184,17179869184,tallskinny_dgemm_1024_8192
2048,16,2048,0.08391,1.6,1.1411099999999998,0.12,0.59,20.72,2.0,51.07,134256000.00000003,136933200.0,134217728,134217728,tallskinny_dgemm_2048_16
2048,32,2048,0.16126,1.66,1.19819,0.22,0.97,32.93,0.32,78.46,267691599.99999997,263601799.99999997,268435456,268435456,tallskinny_dgemm_2048_32
2048,64,2048,0.32244,1.67,1.19649,0.45,1.38,48.97,0.59,89.92,538474800.0,538420500.0000001,536870912,536870912,tallskinny_dgemm_2048_64
2048,128,2048,0.64515,1.66,1.25775,0.85,1.39,72.94,15.26,92.49,1070948999.9999999,1069087500.0,1073741824,1073741824,tallskinny_dgemm_2048_128
2048,256,2048,1.28156,1.68,1.15147,1.86,1.43,84.96,2.94,90.36,2153020800.0,2141734200.0000002,2147483648,2147483648,tallskinny_dgemm_2048_256
2048,512,2048,1.3078599999999998,3.28,1.15613,3.71,1.54,91.02,2.78,94.18,4289780799.9999995,4289242300.000001,4294967296,4294967296,tallskinny_dgemm_2048_512
2048,1024,2048,1.31251,6.54,1.1608,7.4,1.38,94.11,1.45,92.17,8583815400.0,8589920000.000001,8589934592,8589934592,tallskinny_dgemm_2048_1024
2048,2048,2048,1.3138800000000002,13.08,1.1603599999999998,14.81,1.3,95.58,1.45,95.57,17185550400.000004,17184931600.0,17179869184,17179869184,tallskinny_dgemm_2048_2048
2048,4096,2048,1.37102,25.06,1.2100799999999998,28.39,1.24,96.32,1.49,93.18,34357761199.999996,34354171200.0,34359738368,34359738368,tallskinny_dgemm_2048_4096
2048,8192,2048,1.3358299999999999,51.44,1.21045,56.77,1.21,96.72,1.52,93.71,68715095199.99999,68717246499.99999,68719476736,68719476736,tallskinny_dgemm_2048_8192
3072,16,3072,0.12533,2.41,1.24956,0.24,0.39,20.49,5.95,49.1,302045300.0,299894400.0,301989888,301989888,tallskinny_dgemm_3072_16
3072,32,3072,0.23854,2.53,1.16526,0.52,0.65,33.44,11.47,73.03,603506200.0,605935200.0,603979776,603979776,tallskinny_dgemm_3072_32
