M,N,K,MAGMA_Tflops/s,ms1,cuBLAS_Tflops/s,ms2,magma_L1_hit_rate,magma_L2_hit_rate,cublas_L1_hit_rate,cublas_L2_hit_rate,magma_flo,cu_flo,magma_flo_mkn2,cu_flo_mkn2,mat
1024,16,1024,0,0,1.38,0.02,0,0,0,66.4,0.0,27600000.0,33554432,33554432,tallskinny_hgemm_1024_16
1024,32,1024,0,0,5.278,0.01,0,0,0,40.36,0.0,52779999.99999999,67108864,67108864,tallskinny_hgemm_1024_32
1024,64,1024,0,0,9.819,0.01,0,0,5.56,52.2,0.0,98190000.0,134217728,134217728,tallskinny_hgemm_1024_64
1024,128,1024,0,0,19.191,0.01,0,0,5.56,74.17,0.0,191910000.0,268435456,268435456,tallskinny_hgemm_1024_128
1024,256,1024,0,0,40.211,0.01,0,0,0,81.78,0.0,402109999.99999994,536870912,536870912,tallskinny_hgemm_1024_256
1024,512,1024,0,0,68.583,0.02,0,0,0,84.18,0.0,1371660000.0,1073741824,1073741824,tallskinny_hgemm_1024_512
1024,1024,1024,0,0,91.91,0.02,0,0,0,87.23,0.0,1838200000.0000002,2147483648,2147483648,tallskinny_hgemm_1024_1024
1024,2048,1024,0,0,130.225,0.03,0,0,0,87.37,0.0,3906749999.9999995,4294967296,4294967296,tallskinny_hgemm_1024_2048
1024,4096,1024,0,0,216.606,0.04,0,0,0,87.4,0.0,8664240000.0,8589934592,8589934592,tallskinny_hgemm_1024_4096
1024,8192,1024,0,0,241.804,0.07,0,0,0,88.34,0.0,16926280000.000002,17179869184,17179869184,tallskinny_hgemm_1024_8192
2048,16,2048,0,0,8.081,0.02,0,0,0.84,23.25,0.0,161620000.0,134217728,134217728,tallskinny_hgemm_2048_16
2048,32,2048,0,0,18.357,0.01,0,0,2,35.1,0.0,183569999.99999997,268435456,268435456,tallskinny_hgemm_2048_32
2048,64,2048,0,0,32.793,0.02,0,0,0,48.25,0.0,655860000.0,536870912,536870912,tallskinny_hgemm_2048_64
2048,128,2048,0,0,60.859,0.02,0,0,0,68.03,0.0,1217180000.0000002,1073741824,1073741824,tallskinny_hgemm_2048_128
2048,256,2048,0,0,97.551,0.02,0,0,0,80.8,0.0,1951020000.0,2147483648,2147483648,tallskinny_hgemm_2048_256
2048,512,2048,0,0,113.061,0.04,0,0,0,81.62,0.0,4522440000.000001,4294967296,4294967296,tallskinny_hgemm_2048_512
2048,1024,2048,0,0,192.325,0.04,0,0,0,90.19,0.0,7692999999.999999,8589934592,8589934592,tallskinny_hgemm_2048_1024
2048,2048,2048,0,0,231.201,0.07,0,0,0,91.03,0.0,16184070000.000002,17179869184,17179869184,tallskinny_hgemm_2048_2048
2048,4096,2048,0,0,280.744,0.12,0,0,0,92.28,0.0,33689280000.000004,34359738368,34359738368,tallskinny_hgemm_2048_4096
2048,8192,2048,0,0,290.36,0.24,0,0,0,93.26,0.0,69686400000.00002,68719476736,68719476736,tallskinny_hgemm_2048_8192
3072,16,3072,0,0,16.17,0.02,0,0,0.38,21.15,0.0,323400000.0,301989888,301989888,tallskinny_hgemm_3072_16
3072,32,3072,0,0,34.08,0.02,0,0,0,21.93,0.0,681600000.0,603979776,603979776,tallskinny_hgemm_3072_32
3072,64,3072,0,0,64.679,0.02,0,0,0,36.21,0.0,1293580000.0000002,1207959552,1207959552,tallskinny_hgemm_3072_64
3072,128,3072,0,0,103.752,0.02,0,0,0,53.67,0.0,2075039999.9999998,2415919104,2415919104,tallskinny_hgemm_3072_128
3072,256,3072,0,0,131.884,0.04,0,0,0,73.92,0.0,5275359999.999999,4831838208,4831838208,tallskinny_hgemm_3072_256
3072,512,3072,0,0,169.355,0.06,0,0,0,85.55,0.0,10161299999.999998,9663676416,9663676416,tallskinny_hgemm_3072_512
3072,1024,3072,0,0,230.954,0.08,0,0,0.42,91.27,0.0,18476320000.0,19327352832,19327352832,tallskinny_hgemm_3072_1024
3072,2048,3072,0,0,265.351,0.15,0,0,0,92.47,0.0,39802650000.0,38654705664,38654705664,tallskinny_hgemm_3072_2048
3072,4096,3072,0,0,300.425,0.26,0,0,0,94.07,0.0,78110500000.0,77309411328,77309411328,tallskinny_hgemm_3072_4096
3072,8192,3072,0,0,261.499,0.59,0,0,0,92.9,0.0,154284410000.0,154618822656,154618822656,tallskinny_hgemm_3072_8192
4096,16,4096,0,0,22.978,0.02,0,0,0.15,20.15,0.0,459560000.0,536870912,536870912,tallskinny_hgemm_4096_16
4096,32,4096,0,0,50.226,0.02,0,0,0,15.59,0.0,1004520000.0000001,1073741824,1073741824,tallskinny_hgemm_4096_32
4096,64,4096,0,0,92.224,0.02,0,0,0,35.03,0.0,1844480000.0000002,2147483648,2147483648,tallskinny_hgemm_4096_64
4096,128,4096,0,0,134.102,0.03,0,0,0,51.44,0.0,4023060000.0,4294967296,4294967296,tallskinny_hgemm_4096_128
4096,256,4096,0,0,185.397,0.05,0,0,0,74.18,0.0,9269850000.0,8589934592,8589934592,tallskinny_hgemm_4096_256
4096,512,4096,0,0,231.201,0.07,0,0,0,86.0,0.0,16184070000.000002,17179869184,17179869184,tallskinny_hgemm_4096_512
4096,1024,4096,0,0,259.667,0.13,0,0,0,89.79,0.0,33756709999.999996,34359738368,34359738368,tallskinny_hgemm_4096_1024
4096,2048,4096,0,0,264.028,0.26,0,0,0.21,94.84,0.0,68647280000.00001,68719476736,68719476736,tallskinny_hgemm_4096_2048
4096,4096,4096,0,0,278.573,0.49,0,0,0,94.04,0.0,136500770000.0,137438953472,137438953472,tallskinny_hgemm_4096_4096
4096,8192,4096,0,0,300.423,0.91,0,0,0,94.5,0.0,273384929999.99997,274877906944,274877906944,tallskinny_hgemm_4096_8192
5120,16,5120,0,0,30.684,0.03,0,0,0.25,19.96,0.0,920520000.0,838860800,838860800,tallskinny_hgemm_5120_16
5120,32,5120,0,0,54.13,0.03,0,0,0,20.77,0.0,1623900000.0000002,1677721600,1677721600,tallskinny_hgemm_5120_32
5120,64,5120,0,0,96.838,0.03,0,0,0.3,49.68,0.0,2905139999.9999995,3355443200,3355443200,tallskinny_hgemm_5120_64
5120,128,5120,0,0,128.137,0.05,0,0,0,43.06,0.0,6406850000.0,6710886400,6710886400,tallskinny_hgemm_5120_128
5120,256,5120,0,0,201.293,0.07,0,0,0,67.52,0.0,14090510000.000002,13421772800,13421772800,tallskinny_hgemm_5120_256
5120,512,5120,0,0,243.35,0.11,0,0,0,82.58,0.0,26768500000.0,26843545600,26843545600,tallskinny_hgemm_5120_512
5120,1024,5120,0,0,262.346,0.2,0,0,0,90.14,0.0,52469200000.0,53687091200,53687091200,tallskinny_hgemm_5120_1024
5120,2048,5120,0,0,280.598,0.38,0,0,0,92.66,0.0,106627240000.0,107374182400,107374182400,tallskinny_hgemm_5120_2048
5120,4096,5120,0,0,283.424,0.76,0,0,0,94.94,0.0,215402239999.99997,214748364800,214748364800,tallskinny_hgemm_5120_4096
5120,8192,5120,0,0,269.233,1.6,0,0,0,94.3,0.0,430772800000.0,429496729600,429496729600,tallskinny_hgemm_5120_8192
6144,16,6144,0,0,34.862,0.03,0,0,0.21,19.96,0.0,1045860000.0,1207959552,1207959552,tallskinny_hgemm_6144_16
6144,32,6144,0,0,50.33,0.05,0,0,0,33.12,0.0,2516500000.0,2415919104,2415919104,tallskinny_hgemm_6144_32
6144,64,6144,0,0,90.072,0.05,0,0,0,24.06,0.0,4503600000.000001,4831838208,4831838208,tallskinny_hgemm_6144_64
6144,128,6144,0,0,108.958,0.09,0,0,0,41.47,0.0,9806220000.0,9663676416,9663676416,tallskinny_hgemm_6144_128
6144,256,6144,0,0,174.709,0.11,0,0,0,74.5,0.0,19217990000.0,19327352832,19327352832,tallskinny_hgemm_6144_256
6144,512,6144,0,0,193.011,0.2,0,0,0,82.7,0.0,38602200000.0,38654705664,38654705664,tallskinny_hgemm_6144_512
6144,1024,6144,0,0,260.589,0.3,0,0,0,90.38,0.0,78176700000.0,77309411328,77309411328,tallskinny_hgemm_6144_1024
6144,2048,6144,0,0,302.575,0.51,0,0,0,93.88,0.0,154313250000.0,154618822656,154618822656,tallskinny_hgemm_6144_2048
6144,4096,6144,0,0,285.0,1.09,0,0,0,85.73,0.0,310650000000.00006,309237645312,309237645312,tallskinny_hgemm_6144_4096
