M,N,K,MAGMA_Tflops/s,ms1,cuBLAS_Tflops/s,ms2,magma_L1_hit_rate,magma_L2_hit_rate,cublas_L1_hit_rate,cublas_L2_hit_rate,magma_flo,cu_flo,magma_flo_mkn2,cu_flo_mkn2,mat
1024,16,1024,0.30977,0.11,1.97296,0.02,1.26,16.39,0,22.54,34074700.0,39459200.0,33554432,33554432,tallskinny_sgemm_1024_16
1024,32,1024,0.61013,0.11,4.90945,0.01,2.17,25.55,0,42.44,67114300.0,49094500.0,67108864,67108864,tallskinny_sgemm_1024_32
1024,64,1024,1.17037,0.11,8.57284,0.02,3.39,38.43,0,70.52,128740699.99999999,171456799.99999997,134217728,134217728,tallskinny_sgemm_1024_64
1024,128,1024,2.36038,0.11,12.5565,0.02,3.38,65.02,0,85.95,259641800.00000003,251130000.00000003,268435456,268435456,tallskinny_sgemm_1024_128
1024,256,1024,4.6396999999999995,0.12,20.16537,0.03,3.94,75.67,24.24,87.73,556764000.0,604961099.9999999,536870912,536870912,tallskinny_sgemm_1024_256
1024,512,1024,9.285770000000001,0.12,23.70316,0.05,3.94,83.85,6.65,88.58,1114292400.0000002,1185158000.0000002,1073741824,1073741824,tallskinny_sgemm_1024_512
1024,1024,1024,18.098860000000002,0.12,35.7902,0.06,4.11,87.46,0,91.84,2171863200.0,2147411999.9999995,2147483648,2147483648,tallskinny_sgemm_1024_1024
1024,2048,1024,22.13978,0.19,43.096650000000004,0.1,4.06,89.62,4.22,93.43,4206558200.0,4309665000.000001,4294967296,4294967296,tallskinny_sgemm_1024_2048
1024,4096,1024,23.9235,0.36,56.88757,0.15,4.63,90.53,7.03,89.01,8612460000.0,8533135499.999999,8589934592,8589934592,tallskinny_sgemm_1024_4096
1024,8192,1024,25.04319,0.69,57.401160000000004,0.3,4.59,91.09,7.02,90.05,17279801099.999996,17220348000.0,17179869184,17179869184,tallskinny_sgemm_1024_8192
2048,16,2048,0.6204400000000001,0.22,5.51912,0.02,0.64,16.82,4.03,21.96,136496800.00000003,110382400.0,134217728,134217728,tallskinny_sgemm_2048_16
2048,32,2048,1.24638,0.22,9.81889,0.03,1.11,26.62,0,26.89,274203600.0,294566700.0,268435456,268435456,tallskinny_sgemm_2048_32
2048,64,2048,2.53296,0.21,17.87143,0.03,1.75,40.18,0,66.0,531921599.99999994,536142899.99999994,536870912,536870912,tallskinny_sgemm_2048_64
2048,128,2048,4.9472,0.22,27.57306,0.04,1.75,68.26,0,80.56,1088384000.0,1102922400.0000002,1073741824,1073741824,tallskinny_sgemm_2048_128
2048,256,2048,9.762139999999999,0.22,34.64307,0.06,2.05,79.33,4.32,83.21,2147670800.0,2078584199.9999998,2147483648,2147483648,tallskinny_sgemm_2048_256
2048,512,2048,11.67996,0.37,33.29833,0.13,2.05,87.61,9.91,82.08,4321585199.999999,4328782900.000001,4294967296,4294967296,tallskinny_sgemm_2048_512
2048,1024,2048,23.09045,0.37,51.22578,0.17,2.12,91.39,7.05,88.12,8543466500.000001,8708382600.0,8589934592,8589934592,tallskinny_sgemm_2048_1024
2048,2048,2048,24.426299999999998,0.7,59.650330000000004,0.29,2.41,93.53,3.79,91.21,17098409999.999998,17298595700.0,17179869184,17179869184,tallskinny_sgemm_2048_2048
2048,4096,2048,25.01421,1.37,57.93964,0.59,2.37,94.59,3.78,93.21,34269467700.0,34184387599.999992,34359738368,34359738368,tallskinny_sgemm_2048_4096
2048,8192,2048,27.259259999999998,2.52,58.30296,1.18,2.24,95.13,3.78,94.2,68693335200.0,68797492800.0,68719476736,68719476736,tallskinny_sgemm_2048_8192
3072,16,3072,0.97209,0.31,9.64445,0.03,0.44,14.37,0,14.34,301347900.0,289333500.0,301989888,301989888,tallskinny_sgemm_3072_16
3072,32,3072,1.93577,0.31,16.77665,0.04,0.77,24.71,0,24.79,600088700.0,671066000.0,603979776,603979776,tallskinny_sgemm_3072_32
3072,64,3072,3.85094,0.31,22.518,0.05,1.22,39.02,0,61.03,1193791400.0,1125900000.0000002,1207959552,1207959552,tallskinny_sgemm_3072_64
