,pro,mat,x,y,compute,m,n,nnz,cu_time,flops,cu_gflops
0,exe_spgemm_cusparse_16,/ssget/MM/Grund/poli4/poli4.cbd,2,2,2,33833,33833,73249,0.18726,175255,1.871782548328527
1,exe_spgemm_cusparse_32,/ssget/MM/Grund/poli4/poli4.cbd,4,4,4,33833,33833,73249,0.19079,175255,1.837150794066775
2,exe_spgemm_cusparse_64,/ssget/MM/Grund/poli4/poli4.cbd,8,8,8,33833,33833,73249,0.1861,175255,1.883449758194519
3,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/poli4/poli4.cbd,2,2,2,33833,33833,73249,0.18274,175255,1.9180803327131442
4,exe_spgemm_cusparse_16,/ssget/MM/Grund/b_dyn/b_dyn.cbd,2,2,2,1089,1089,4264,0.1166,16151,0.27703259005145797
5,exe_spgemm_cusparse_32,/ssget/MM/Grund/b_dyn/b_dyn.cbd,4,4,4,1089,1089,4264,0.11728,16151,0.27542633015006823
6,exe_spgemm_cusparse_64,/ssget/MM/Grund/b_dyn/b_dyn.cbd,8,8,8,1089,1089,4264,0.14904,16151,0.21673376274825548
7,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/b_dyn/b_dyn.cbd,2,2,2,1089,1089,4264,0.1711,16151,0.18879018118059615
8,exe_spgemm_cusparse_16,/ssget/MM/Grund/meg4/meg4.cbd,2,2,2,5860,5860,46842,1.76999,2499286,2.82406793258719
9,exe_spgemm_cusparse_32,/ssget/MM/Grund/meg4/meg4.cbd,4,4,4,5860,5860,46842,1.54446,2499286,3.236452870258861
10,exe_spgemm_cusparse_64,/ssget/MM/Grund/meg4/meg4.cbd,8,8,8,5860,5860,46842,1.44888,2499286,3.4499558279498648
11,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/meg4/meg4.cbd,2,2,2,5860,5860,46842,1.21951,2499286,4.098836417905551
12,exe_spgemm_cusparse_16,/ssget/MM/Grund/meg1/meg1.cbd,2,2,2,2904,2904,58142,0.47502,1069428,4.502665150941013
13,exe_spgemm_cusparse_32,/ssget/MM/Grund/meg1/meg1.cbd,4,4,4,2904,2904,58142,0.47677,1069428,4.486137970090399
14,exe_spgemm_cusparse_64,/ssget/MM/Grund/meg1/meg1.cbd,8,8,8,2904,2904,58142,0.40967,1069428,5.220924158469012
15,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/meg1/meg1.cbd,2,2,2,2904,2904,58142,0.4757,1069428,4.496228715577044
16,exe_spgemm_cusparse_16,/ssget/MM/Grund/poli_large/poli_large.cbd,2,2,2,15575,15575,33074,0.14168,78904,1.1138339920948617
17,exe_spgemm_cusparse_32,/ssget/MM/Grund/poli_large/poli_large.cbd,4,4,4,15575,15575,33074,0.1401,78904,1.1263954318344038
18,exe_spgemm_cusparse_64,/ssget/MM/Grund/poli_large/poli_large.cbd,8,8,8,15575,15575,33074,0.1401,78904,1.1263954318344038
19,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/poli_large/poli_large.cbd,2,2,2,15575,15575,33074,0.20655,78904,0.7640183974824498
20,exe_spgemm_cusparse_16,/ssget/MM/Grund/d_dyn/d_dyn.cbd,2,2,2,87,87,238,0.16452,656,0.007974714320447362
21,exe_spgemm_cusparse_32,/ssget/MM/Grund/d_dyn/d_dyn.cbd,4,4,4,87,87,238,0.16087,656,0.008155653633368558
22,exe_spgemm_cusparse_64,/ssget/MM/Grund/d_dyn/d_dyn.cbd,8,8,8,87,87,238,0.13234,656,0.009913858243917183
23,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/d_dyn/d_dyn.cbd,2,2,2,87,87,238,0.11593,656,0.011317174156818769
24,exe_spgemm_cusparse_16,/ssget/MM/Grund/poli3/poli3.cbd,2,2,2,16955,16955,37849,0.14981,97492,1.301541953140645
25,exe_spgemm_cusparse_32,/ssget/MM/Grund/poli3/poli3.cbd,4,4,4,16955,16955,37849,0.14959,97492,1.3034561133765625
26,exe_spgemm_cusparse_64,/ssget/MM/Grund/poli3/poli3.cbd,8,8,8,16955,16955,37849,0.15176,97492,1.2848181338956246
27,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/poli3/poli3.cbd,2,2,2,16955,16955,37849,0.1504,97492,1.296436170212766
28,exe_spgemm_cusparse_16,/ssget/MM/Grund/d_dyn1/d_dyn1.cbd,2,2,2,87,87,238,0.11643,656,0.011268573391737523
29,exe_spgemm_cusparse_32,/ssget/MM/Grund/d_dyn1/d_dyn1.cbd,4,4,4,87,87,238,0.11772,656,0.011145090044172612
30,exe_spgemm_cusparse_64,/ssget/MM/Grund/d_dyn1/d_dyn1.cbd,8,8,8,87,87,238,0.11652,656,0.011259869550291797
31,exe_spgemm_cusparse_bf16,/ssget/MM/Grund/d_dyn1/d_dyn1.cbd,2,2,2,87,87,238,0.11579,656,0.011330857587010967
32,exe_spgemm_cusparse_16,/ssget/MM/Grund/bayer09/bayer09.cbd,2,2,2,3083,3083,21216,0.16436,152791,1.859223655390606
